Metric,Score,Timestamp
Accuracy,0.9223300970873787,2025-07-18T16:29:25.400804
Precision,0.8506928079932133,2025-07-18T16:29:25.400804
Recall,0.9223300970873787,2025-07-18T16:29:25.400804
